App_Category,App_Type,Score,Review_Date,Review_Content,Thumbs_Up,Cleaned_Review,Dominant_Topic_ID,Topic_Name
Traditional Bank A,Traditional Bank,5,2026-06-20 14:48:15,Best Card to Have!!,0,best card,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-20 07:12:13,"Quick processing, clear and reasonable terms.",0,quick processing clear reasonable terms,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-20 05:21:45,I great and I need to open a new acct,0,great need open new acct,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-20 04:36:54,Great app. only thing is it should be easier/faster to lock your cards.,0,great thing easierfaster lock cards,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-20 03:46:23,chase preferred one of the best travling card ever created leave american express and all other travling cards come join the club and make ur life amazing,0,chase preferred one best travling card ever created leave american express travling cards come join club make life amazing,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-20 02:56:01,"not worth the annual fee for me anniversary date expires and is limited to 40,000 point properties. IHG itself was no help in connecting me to Chase.",0,worth annual fee anniversary date expires limited point properties ihg help connecting chase,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-20 02:52:54,everything I need to back without driving there,0,everything need back without driving,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-20 02:45:09,card didn't work for purchase,0,card didnt work purchase,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-20 02:15:54,Bad,0,bad,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,4,2026-06-20 01:53:52,still a glitch falsely reporting malware root when not rooted.,0,still glitch falsely reporting malware root rooted,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-20 00:30:46,Great ap to manage my cards,0,great manage cards,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,1,2026-06-20 00:06:47,"I lost my chase app , because of chase update and it will not allow me to get on it again , it's an inconvenience to say the least , somebody.",0,lost chase chase update allow inconvenience say least somebody,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-19 23:46:46,Exceptional Services Provided !,0,exceptional services provided,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-19 23:26:39,great user interface. customer support is amazing,0,great user interface customer support amazing,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-19 22:30:40,Love Chase,0,love chase,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-19 22:25:35,it being a good experience sofar. in wanting for a refund my money was taking out with out my noin.,0,good experience sofar wanting refund taking noin,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,3,2026-06-19 22:13:41,Not happy that I will not be able to use the apply this July 2026 software updates won't be able to work on Samsung Galaxy S10 😢,0,happy able apply july software updates wont able work samsung galaxy,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-19 22:07:56,Easy to use. Thank you!,0,easy thank,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,1,2026-06-19 21:57:20,I have to find a new way to login every month,0,find new way login every month,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,1,2026-06-19 21:47:38,1 star for nagging me for a review,1,star nagging review,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-19 19:08:18,Great,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,1,2026-06-19 18:35:28,The most horrible banking app I have ever used. It takes multiple attempts to deposit checks. App glitches all the time and closes itself. l spent an hour already and I still can't deposit a check. Absolutely horrible and useless. I'm not going to be surprised if at the end I will have to go to the bank to deposit a check.,0,horrible ever used takes multiple attempts deposit checks glitches time closes spent hour already still cant deposit check absolutely horrible useless going surprised end deposit check,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-19 18:27:08,keeps canceling my access!!!,0,keeps canceling access,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,4,2026-06-19 18:00:13,"*Appreciate Chase Bank! Their app is pretty complete with all one needs to Stay connected on One's money Matters; Debit, Saving, Investing, etc. Also,with Now, More Local Banks available,-like here in Middle TN, Inbank brings You knowledgeable & Kind Clientele in a Nice non-Bank feel. Finally, evn wth [some] advertising on Their app! Smiles* It isn't too difficult to navigate. For some1 Who is forever having to change passwords, I appreciate thumb entry. I have enjoyed Chase*",1,appreciate chase pretty complete one needs stay connected ones matters debit saving investing etc alsowith local banks availablelike middle inbank brings knowledgeable kind clientele nice nonbank feel finally evn wth advertising smiles isnt difficult navigate forever change passwords appreciate thumb entry enjoyed chase,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,2,2026-06-19 17:10:22,Every transaction amount needs to have a smaller figure under it that shows what the Current Balance is after that particular transaction. Bank of America has it and it is so helpful to see how a transaction moves the current balance.,67,every transaction amount needs smaller figure shows current balance particular transaction america helpful see transaction moves current balance,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-19 16:42:33,the best,0,best,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,2,2026-06-19 16:22:15,"The all works fine. I've used it for 5 years. The fact that we still do not have a keyword search for our transaction history kind of says a lot about Chase Bank though. I should not have to log on to my PC to do that. The most basic of apps have keyword search options. It will let me search transaction type but that does not help me when I think one specific place has double charged me for years. So my verdict is, this app kind of stinks. Not the first time I've had this problem.",1,works fine ive used years fact still keyword search transaction history kind says lot chase though log basic apps keyword search options let search transaction type help think one specific place double charged years verdict kind stinks first time ive problem,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-19 16:16:45,terrible company with horrible customer service. app is fine when it works and when it doesn't good luck with anybody helping you.,0,terrible company horrible customer service fine works doesnt good luck anybody helping,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-19 16:08:34,Great app.,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-19 15:23:06,Great site. Excellent service,0,great site excellent service,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-19 14:53:38,forced reviews get 1 star,0,forced reviews star,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-19 10:31:48,super easy online banking & a lot of security options if you needed them.,0,super easy online lot security options needed,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,2,2026-06-19 08:53:16,you guys need to be open on the weekends all hours,0,guys need open weekends hours,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-19 05:54:47,The agents are very helpful when needed and I can easily read and understand my statements each month.,0,agents helpful needed easily read understand statements month,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-19 05:39:53,always protected and trusted,0,always protected trusted,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-19 04:52:25,very safe and good.,0,safe good,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,3,2026-06-19 04:48:48,I made a payment before it was due ànd lt has not shown up yet . and they are holding charges due to it.,0,made payment due shown yet holding charges due,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-19 04:33:17,Terrible,0,terrible,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-19 04:00:51,Boo,0,boo,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-19 03:09:25,Great,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,1,2026-06-19 02:23:59,"106MB?? lol optimize your app, devs, for a banking app that's ridiculous",1,lol optimize devs thats ridiculous,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-19 02:14:25,"Plenty of resources, amazing user-friendly interface, an abundance of available products, AI tools for assistance, and all of the contacts you need all in one place if help is necessary. Seamless app and great service.",0,plenty resources amazing userfriendly interface abundance available products tools assistance contacts need one place help necessary seamless great service,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-19 01:58:58,excellent app,0,excellent,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-19 00:23:10,Security is top notch!,0,security top notch,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,1,2026-06-18 23:51:14,I closed my account 3 yes ago and they won't let you open account for life after don't recommend...,0,closed yes ago wont let open life dont recommend,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-18 23:21:41,"06/18/2026: Occasionally give me a ""rooted phone warning"" when accessing my mortgage information? My phone is NOT rooted. It will eventually allow me to access payment options. This is irritating.",0,occasionally give rooted phone warning accessing mortgage information phone rooted eventually allow access payment options irritating,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-18 22:31:47,excellent card,0,excellent card,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-18 22:28:08,I really enjoy the app. I'm able to check my accounts as often as I like and make payments easily.,0,really enjoy able check accounts often make payments easily,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 21:40:42,easy,0,easy,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,1,2026-06-18 21:28:06,"Just like nearly everyone else has been complaining about, you need to fix this erroneous rooted/malware error. No one has any clue why we are receiving it and it's preventing us from using essential features like Zelle. It should have never made it to live production like this and now it's been a problem for months.",0,nearly everyone else complaining need fix erroneous rootedmalware error one clue receiving preventing using essential features zelle never made live production problem months,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-18 20:15:53,Chase sucks,0,chase sucks,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 18:40:44,great app,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-18 18:37:32,great,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-18 18:24:09,quick response I would recommend the app to friends,0,quick response recommend friends,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,1,2026-06-18 17:56:21,down to one star; have no idea what they did but none of my accounts show up anymore - get it together chase.,0,one star idea none accounts show anymore together chase,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 17:52:38,Amazing way to keep track of my money and having built in zelle just put the cherry on top. Love it!,0,amazing way keep track built zelle put cherry top love,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 16:54:29,I have good experience to work with Chase,0,good experience work chase,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-18 16:46:34,Its a bank. They give me a line of credit. I appreciate that. I do not like that they want to lower my credit amount due to less usage than they would like.,0,give line credit appreciate want lower credit amount due less usage,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-18 16:43:19,great bank,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-18 16:33:05,Always available,0,always available,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 16:19:16,good,0,good,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-18 16:14:42,very useful and easy to navigate.,0,useful easy navigate,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,1,2026-06-18 15:05:14,always issues with using this card,0,always issues using card,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 14:56:41,Chase has always been there for me!,0,chase always,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 14:47:00,very good,0,good,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-18 13:58:35,Amazing benefits,0,amazing benefits,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-18 12:12:13,Works but there's no dark mode.,0,works theres dark mode,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,4,2026-06-18 10:22:27,my digital wallet wouldn't in work till I received me actual card,0,digital wallet wouldnt work till received actual card,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-18 10:14:17,don't understand why I keep needing a new app every month help me understand this please,0,dont understand keep needing new every month help understand please,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,1,2026-06-18 09:36:37,I'm not trying to use the damn app. I just want to pay my card balance.,0,trying damn want pay card balance,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-18 07:54:28,No longer works on my Galaxy S9+ due to OS requirements. Why developers force obsolence on perfectly good hardware is sinister.,1,longer works galaxy due requirements developers force obsolence perfectly good hardware sinister,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-18 07:50:53,I'm trying to get to my bank account and I can't because it says to update but I can't update because I don't have no room I unabled now what do I do,0,trying cant says update cant update dont room unabled,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-18 07:37:02,Horrible,0,horrible,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-18 06:32:59,There is nothing else to say other than you're the best.,0,nothing else say youre best,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-18 06:30:49,"user friendly, secure",0,user friendly secure,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-18 05:50:08,Okay thanks,0,okay thanks,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,1,2026-06-18 05:13:05,was fine but now I can't see my accounts or cards.,1,fine cant see accounts cards,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-18 05:04:10,"I used to think Chase was great. Easy to access on my phone via the app. Now they have decided that I have to buy a new phone in order to use the app because of an update to their platform. I think this is outrageous. Chase is punishing a long term, frugal customer f or not throwing away money on a new phone, because my old one works just fine. I don't need to use Chase as my main credit card. I used them because they provided an easy to use platform and good service. Might have to rethink this",1,used think chase great easy access phone via decided buy new phone order update platform think outrageous chase punishing long term frugal customer throwing away new phone old one works fine dont need chase main credit card used provided easy platform good service might rethink,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-18 04:57:38,excellent site,0,excellent site,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-18 04:50:00,"The card will only take bank checks, M.O no automatic payment options.",0,card take checks automatic payment options,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-18 04:43:08,Great service...,0,great service,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-18 04:26:29,easy to use to deposit checks.,0,easy deposit checks,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-18 04:01:26,Super User-friendly App,0,super userfriendly,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-18 02:52:27,Great job,0,great job,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-18 00:57:35,"Love it, use it almost everyday❤",0,love almost everyday,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-17 23:44:01,Always excessible and convenient for use!,0,always excessible convenient,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,4,2026-06-17 23:03:16,faster atm and early pay 😌 than 5 🌟,0,faster atm early pay,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-17 22:43:44,very easy process got approved in seconds. Thank You Chase,0,easy process got approved seconds thank chase,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,3,2026-06-17 22:20:55,"Font too small after they made update changes. Gen Z programers need to understand people their parents age use this this app too. Make fonts larger, thanks.",0,font small made update changes gen programers need understand people parents age make fonts larger thanks,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-17 21:54:33,excellent,0,excellent,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,4,2026-06-17 21:42:16,navigating in app cumbersome at times,0,navigating cumbersome times,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-17 21:36:49,had alot of trouble with checks funds took alot of time to ve in my account that was also restricted then had a hold on different check had no access to zelle when I was traveling and never received my new card initially!!👎👎👎,0,alot trouble checks funds took alot time also restricted hold different check access zelle traveling never received new card initially,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-17 21:33:49,user friendly and helpful,0,user friendly helpful,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-17 21:06:59,great app but I'm not buying a new phone just to keep it. you got to think about all your customers.,0,great buying new phone keep got think customers,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,2,2026-06-17 21:05:38,Hate the effort to force biometrics. Leave my fingerprints alone.,0,hate effort force biometrics leave fingerprints alone,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-17 20:33:27,This card declines every time I try to use it. I've reported it to customer service 3x. Each time they say they fixed it but it's not. I plan on closing this card permanently.,0,card declines every time try ive reported customer service time say fixed plan closing card permanently,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-17 20:24:47,No problems here.,0,problems,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-17 19:55:13,Confusing,0,confusing,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,3,2026-06-17 19:44:28,Security system can be problematic to access information and funds.,0,security system problematic access information funds,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,4,2026-06-17 18:50:48,the app could use a little improvement but it's not bad,0,could little improvement bad,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-17 18:48:00,I been dealing with you guys for years. I love everything about chase.,0,dealing guys years love everything chase,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,3,2026-06-17 18:47:17,"After the biometric lock screen, Chase also asks for a screen lock code that once entered gets stuck on an infinite loading screen, with no way to bypass without clearing full app data. App is unusable as a result of the load loop.",0,biometric lock screen chase also asks screen lock code entered gets stuck infinite loading screen way bypass without clearing full data unusable result load loop,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,2,2026-06-17 18:37:14,the app is crashing so often and the system doesn't recognize the payment inmediatly,0,crashing often system doesnt recognize payment inmediatly,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-17 17:33:31,outstanding card never any problems,0,outstanding card never problems,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-17 17:26:03,love the app. easy to navigate and get my banking done,0,love easy navigate done,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-17 16:47:58,one of the best apps I use. love the fingerprint plus pin combination access. I wish more apps did that. I do wish when I have a negative balance my available credit reflected that in some way.,0,one best apps love fingerprint plus pin combination access wish apps wish negative balance available credit reflected way,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-17 16:45:20,easy access and payments app.,0,easy access payments,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,1,2026-06-17 16:39:48,I don't trust your constant update requirements. I want an opt out option on updates.,0,dont trust constant update requirements want opt option updates,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,4,2026-06-17 16:27:30,Great app 👌,0,great,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-17 14:28:53,it's amazing.,0,amazing,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-17 14:24:52,"After banking with Chase / JP Morgan for several years, I truly have come to detest Chase for way too many and way too lengthy reasons to go into here. Still, their app is one of their stronger points (unless of course you deduct points for locking your cards and charges still coming through on them). Oh, wait; that's one of the way many banking issues that make them detestable. Thankfully, I'm about to switch, and so this is my Dear John letter of sorts. 😄",0,chase morgan several years truly come detest chase way many way lengthy reasons still one stronger points unless course deduct points locking cards charges still coming wait thats one way many issues make detestable thankfully switch dear john letter sorts,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-17 13:20:14,Not good,0,good,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-17 12:49:30,Very good app bank,0,good,2,"Theme 3: good, far, service"
Traditional Bank A,Traditional Bank,5,2026-06-17 11:14:39,Love it!,0,love,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-17 09:31:22,What was wrong with the way that it was??? If it ain't Broke - DON'T FIX IT.,0,wrong way aint broke dont fix,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,3,2026-06-17 08:18:20,It's a bit troubling to get the app and the information isn't available,0,bit troubling information isnt available,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-17 07:52:21,very nice,0,nice,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,2,2026-06-17 07:25:00,"I Can't Update Hi, currently on an old operating system of Android 12. Soon you will be removing my ability to use the app. Your message saying ""update your device"" is insulting, as if buying a new phone is cheap.",0,cant update currently old operating system android soon removing ability message saying update device insulting buying new phone cheap,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-17 06:54:56,excelente,0,excelente,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-17 06:54:26,"Great service, lucky to have chase!",0,great service lucky chase,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,5,2026-06-17 06:50:16,Chase bank is exactly as advertised. Mobile app features are easy to navigate and use.,0,chase exactly advertised mobile features easy navigate,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,4,2026-06-17 06:26:21,Great program wonderful customer service.,0,great program wonderful customer service,1,"Theme 2: great, service, works"
Traditional Bank A,Traditional Bank,4,2026-06-17 06:19:40,easy to updated,0,easy updated,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,3,2026-06-17 05:17:37,"I have the bonvey hotel card and always have to call and argue about my points and it's always back and forth from chase to bonvey, saying it's the other ones fault. I don't use anymore. I usually get my points accept this last time. too many problems and confusion or misdirecting on purpose?",0,bonvey hotel card always call argue points always back forth chase bonvey saying ones fault dont anymore usually points accept last time many problems confusion misdirecting purpose,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,5,2026-06-17 04:54:37,excellent. easy to handle.,0,excellent easy handle,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,1,2026-06-17 03:59:21,App is giving me issues and I can't chat with a real person to fix it. Chatbots are clueless,0,giving issues cant chat real person fix chatbots clueless,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,1,2026-06-17 03:26:50,"sent new debit card, NOT in Chase system yet!!",0,sent new debit card chase system yet,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-17 03:20:05,I already clicked on update numerous times. why can't I access my bank account?,0,already clicked update numerous times cant access,4,"Theme 5: excellent, service, customer"
Traditional Bank A,Traditional Bank,5,2026-06-17 02:51:59,amazing simplicity,0,amazing simplicity,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-17 02:31:00,Will not install,0,install,3,"Theme 4: love, cash, chase"
Traditional Bank A,Traditional Bank,1,2026-06-17 01:54:43,The update will not download and im unable to access my bank information. What's up with that??,0,update download unable access information whats,0,"Theme 1: easy, navigate, convenient"
Traditional Bank A,Traditional Bank,5,2026-06-17 00:56:17,The app looks and works perfectly.,0,looks works perfectly,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,3,2026-06-17 00:52:20,don't be changing the way to find my bill.,0,dont changing way find bill,5,"Theme 6: awesome, chase, card"
Traditional Bank A,Traditional Bank,5,2026-06-17 00:09:57,"Great service.I love it., not only in a time of need but always that's why I switched to chase .great bank .Thank so much make's life easier",0,great servicei love time need always thats switched chase great thank much makes life easier,1,"Theme 2: great, service, works"
