App_Category,App_Type,Score,Review_Date,Review_Content,Thumbs_Up
Traditional Bank A,Traditional Bank,5,2026-06-20 14:48:15,Best Card to Have!!,0
Traditional Bank A,Traditional Bank,5,2026-06-20 07:12:13,"Quick processing, clear and reasonable terms.",0
Traditional Bank A,Traditional Bank,5,2026-06-20 05:21:45,I great and I need to open a new acct,0
Traditional Bank A,Traditional Bank,5,2026-06-20 04:36:54,Great app. only thing is it should be easier/faster to lock your cards.,0
Traditional Bank A,Traditional Bank,5,2026-06-20 03:46:23,chase preferred one of the best travling card ever created leave american express and all other travling cards come join the club and make ur life amazing,0
Traditional Bank A,Traditional Bank,1,2026-06-20 02:56:01,"not worth the annual fee for me anniversary date expires and is limited to 40,000 point properties. IHG itself was no help in connecting me to Chase.",0
Traditional Bank A,Traditional Bank,5,2026-06-20 02:52:54,everything I need to back without driving there,0
Traditional Bank A,Traditional Bank,1,2026-06-20 02:45:09,card didn't work for purchase,0
Traditional Bank A,Traditional Bank,1,2026-06-20 02:15:54,Bad,0
Traditional Bank A,Traditional Bank,4,2026-06-20 01:53:52,still a glitch falsely reporting malware root when not rooted.,0
Traditional Bank A,Traditional Bank,5,2026-06-20 00:30:46,Great ap to manage my cards,0
Traditional Bank A,Traditional Bank,1,2026-06-20 00:06:47,"I lost my chase app , because of chase update and it will not allow me to get on it again , it's an inconvenience to say the least , somebody.",0
Traditional Bank A,Traditional Bank,5,2026-06-19 23:46:46,Exceptional Services Provided !,0
Traditional Bank A,Traditional Bank,5,2026-06-19 23:26:39,great user interface. customer support is amazing,0
Traditional Bank A,Traditional Bank,5,2026-06-19 22:30:40,Love Chase,0
Traditional Bank A,Traditional Bank,5,2026-06-19 22:25:35,it being a good experience sofar. in wanting for a refund my money was taking out with out my noin.,0
Traditional Bank A,Traditional Bank,3,2026-06-19 22:13:41,Not happy that I will not be able to use the apply this July 2026 software updates won't be able to work on Samsung Galaxy S10 😢,0
Traditional Bank A,Traditional Bank,5,2026-06-19 22:07:56,Easy to use. Thank you!,0
Traditional Bank A,Traditional Bank,1,2026-06-19 21:57:20,I have to find a new way to login every month,0
Traditional Bank A,Traditional Bank,1,2026-06-19 21:47:38,1 star for nagging me for a review,1
Traditional Bank A,Traditional Bank,5,2026-06-19 19:08:18,Great,0
Traditional Bank A,Traditional Bank,1,2026-06-19 18:35:28,The most horrible banking app I have ever used. It takes multiple attempts to deposit checks. App glitches all the time and closes itself. l spent an hour already and I still can't deposit a check. Absolutely horrible and useless. I'm not going to be surprised if at the end I will have to go to the bank to deposit a check.,0
Traditional Bank A,Traditional Bank,1,2026-06-19 18:27:08,keeps canceling my access!!!,0
